frame_number,timestamp
2952,0:03:16
2955,0:03:16
2958,0:03:17
2961,0:03:17
2964,0:03:17
2967,0:03:17
2970,0:03:17
2973,0:03:18
2976,0:03:18
2979,0:03:18
2982,0:03:18
2985,0:03:18
2988,0:03:19
2991,0:03:19
2994,0:03:19
2997,0:03:19
3000,0:03:19
3003,0:03:20
3006,0:03:20
3009,0:03:20
3012,0:03:20
3015,0:03:20
3018,0:03:21
3021,0:03:21
3024,0:03:21
3027,0:03:21
3030,0:03:21
3178,0:03:31
3181,0:03:32
3184,0:03:32
3187,0:03:32
3190,0:03:32
3193,0:03:32
3196,0:03:33
3199,0:03:33
3202,0:03:33
3205,0:03:33
3208,0:03:33
3211,0:03:34
3214,0:03:34
3217,0:03:34
3220,0:03:34
3223,0:03:34
3226,0:03:35
3229,0:03:35
3232,0:03:35
3235,0:03:35
3238,0:03:35
3241,0:03:36
3244,0:03:36
3247,0:03:36
3250,0:03:36
3253,0:03:36
3256,0:03:37
3259,0:03:37
3262,0:03:37
3265,0:03:37
3268,0:03:37
3271,0:03:38
3274,0:03:38
3277,0:03:38
3280,0:03:38
3283,0:03:38
3286,0:03:39
3289,0:03:39
3292,0:03:39
3295,0:03:39
3298,0:03:39
3301,0:03:40
3304,0:03:40
3307,0:03:40
3310,0:03:40
3313,0:03:40
3316,0:03:41
3319,0:03:41
3322,0:03:41
3325,0:03:41
3328,0:03:41
3331,0:03:42
3334,0:03:42
3337,0:03:42
3340,0:03:42
3343,0:03:42
3346,0:03:43
3349,0:03:43
3352,0:03:43
3355,0:03:43
3358,0:03:43
3361,0:03:44
3364,0:03:44
3367,0:03:44
3370,0:03:44
3373,0:03:44
3376,0:03:45
3383,0:03:45
3386,0:03:45
3389,0:03:45
3392,0:03:46
3395,0:03:46
3398,0:03:46
3401,0:03:46
3404,0:03:46
3407,0:03:47
3410,0:03:47
3413,0:03:47
3416,0:03:47
3419,0:03:47
3422,0:03:48
3425,0:03:48
3428,0:03:48
3431,0:03:48
3434,0:03:48
3437,0:03:49
3440,0:03:49
3443,0:03:49
3446,0:03:49
3449,0:03:49
3452,0:03:50
3455,0:03:50
3458,0:03:50
3461,0:03:50
3464,0:03:50
3467,0:03:51
3470,0:03:51
3473,0:03:51
3476,0:03:51
3479,0:03:51
3482,0:03:52
3485,0:03:52
3488,0:03:52
3491,0:03:52
3494,0:03:52
3497,0:03:53
3500,0:03:53
3503,0:03:53
3506,0:03:53
3509,0:03:53
3512,0:03:54
3515,0:03:54
3518,0:03:54
3521,0:03:54
3524,0:03:54
3527,0:03:55
3530,0:03:55
3533,0:03:55
3536,0:03:55
3539,0:03:55
3542,0:03:56
3545,0:03:56
3548,0:03:56
3551,0:03:56
3554,0:03:56
3557,0:03:57
3560,0:03:57
3563,0:03:57
3566,0:03:57
3569,0:03:57
3572,0:03:58
3575,0:03:58
3578,0:03:58
3581,0:03:58
3584,0:03:58
3587,0:03:59
3590,0:03:59
3593,0:03:59
3596,0:03:59
3599,0:03:59
3602,0:04:00
3605,0:04:00
3641,0:04:02
3644,0:04:02
3647,0:04:03
3650,0:04:03
3653,0:04:03
3656,0:04:03
3659,0:04:03
3662,0:04:04
3665,0:04:04
3668,0:04:04
3671,0:04:04
